id,의사소통능력,문제해결능력,대인관계능력,자기개발능력,열정및의지력,수학지식,통계학지식,머신러닝지식,딥러닝지식,데이터처리능력,데이터분석능력,데이터시각화능력,알고리즘구현능력,인공지능모델링능력,해결하고싶은과제점수,result
36,70.0,0.0,90.0,60.0,80.0,0.0,80.0,0.0,0.0,50.0,90.0,0.0,40.0,0.0,0,0
37,50.0,80.0,60.0,70.0,0.0,40.0,80.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,40,0
38,0.0,80.0,70.0,90.0,60.0,70.0,80.0,0.0,90.0,50.0,60.0,0.0,0.0,0.0,83,0
39,0.0,80.0,60.0,70.0,50.0,70.0,90.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,15,0
40,0.0,70.0,60.0,80.0,90.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,60.0,0.0,10,0
41,0.0,90.0,70.0,80.0,60.0,60.0,70.0,0.0,50.0,40.0,90.0,0.0,0.0,80.0,25,0
42,60.0,70.0,80.0,90.0,50.0,60.0,70.0,0.0,80.0,0.0,0.0,50.0,0.0,90.0,45,0
43,0.0,60.0,70.0,90.0,80.0,60.0,70.0,0.0,50.0,0.0,80.0,0.0,0.0,0.0,0,0
44,90.0,80.0,60.0,70.0,50.0,0.0,70.0,60.0,80.0,0.0,50.0,0.0,40.0,0.0,73,0
45,0.0,50.0,70.0,80.0,60.0,70.0,90.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,40,0
46,50.0,80.0,60.0,90.0,70.0,80.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,55,1
47,50.0,80.0,70.0,60.0,0.0,0.0,90.0,40.0,40.0,0.0,80.0,0.0,0.0,0.0,60,0
48,0.0,50.0,70.0,85.0,65.0,0.0,80.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,83,0
49,0.0,70.0,60.0,80.0,90.0,70.0,80.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,40,0
50,0.0,0.0,50.0,80.0,70.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0
51,0.0,60.0,70.0,90.0,80.0,60.0,80.0,70.0,70.0,0.0,90.0,0.0,0.0,0.0,83,0
52,0.0,60.0,80.0,70.0,50.0,50.0,90.0,80.0,0.0,70.0,100.0,60.0,0.0,40.0,45,1
53,50.0,90.0,80.0,70.0,60.0,0.0,70.0,0.0,0.0,50.0,80.0,0.0,60.0,0.0,15,0
54,0.0,70.0,50.0,90.0,60.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0
55,60.0,40.0,90.0,70.0,80.0,80.0,100.0,0.0,0.0,70.0,90.0,0.0,60.0,0.0,83,1
56,60.0,0.0,80.0,90.0,70.0,0.0,80.0,70.0,90.0,50.0,60.0,0.0,0.0,0.0,10,0
57,0.0,60.0,70.0,90.0,80.0,80.0,90.0,50.0,0.0,0.0,0.0,0.0,40.0,0.0,40,0
58,0.0,80.0,40.0,90.0,70.0,60.0,50.0,70.0,70.0,90.0,80.0,0.0,0.0,0.0,25,0
59,0.0,80.0,90.0,70.0,60.0,80.0,100.0,0.0,0.0,60.0,70.0,0.0,0.0,0.0,75,0
60,0.0,60.0,50.0,80.0,70.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,65,0
61,60.0,90.0,80.0,70.0,50.0,80.0,90.0,100.0,0.0,50.0,70.0,0.0,60.0,0.0,65,0
62,0.0,50.0,60.0,90.0,80.0,0.0,80.0,90.0,70.0,0.0,0.0,0.0,60.0,0.0,83,0
63,0.0,70.0,40.0,90.0,80.0,60.0,90.0,80.0,70.0,0.0,100.0,0.0,0.0,0.0,15,1
64,0.0,60.0,70.0,90.0,80.0,80.0,90.0,70.0,40.0,60.0,100.0,50.0,30.0,0.0,45,0
65,0.0,60.0,70.0,90.0,80.0,60.0,70.0,0.0,0.0,50.0,80.0,0.0,0.0,0.0,0,0
66,70.0,0.0,80.0,90.0,60.0,60.0,80.0,0.0,90.0,50.0,70.0,0.0,0.0,0.0,78,1
67,50.0,70.0,0.0,90.0,80.0,70.0,80.0,50.0,0.0,40.0,90.0,60.0,0.0,0.0,83,1
68,0.0,60.0,70.0,90.0,80.0,40.0,80.0,50.0,0.0,70.0,90.0,0.0,0.0,0.0,65,1
69,0.0,70.0,60.0,90.0,80.0,0.0,70.0,60.0,40.0,0.0,80.0,0.0,0.0,0.0,65,0
70,0.0,60.0,70.0,90.0,80.0,60.0,80.0,50.0,70.0,0.0,90.0,0.0,0.0,0.0,78,1
71,50.0,60.0,70.0,90.0,80.0,0.0,80.0,0.0,0.0,70.0,90.0,60.0,0.0,0.0,78,0
72,0.0,80.0,60.0,90.0,70.0,50.0,70.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,83,0
73,40.0,50.0,60.0,80.0,0.0,80.0,90.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0,0
74,0.0,0.0,60.0,90.0,80.0,70.0,60.0,80.0,0.0,90.0,0.0,0.0,50.0,0.0,15,0
75,0.0,90.0,70.0,80.0,60.0,0.0,90.0,70.0,0.0,50.0,0.0,0.0,0.0,0.0,78,0
76,0.0,60.0,70.0,80.0,90.0,50.0,90.0,40.0,0.0,80.0,100.0,60.0,0.0,70.0,50,1
77,70.0,0.0,60.0,90.0,50.0,60.0,70.0,0.0,0.0,0.0,80.0,40.0,50.0,0.0,65,0
78,50.0,60.0,80.0,90.0,70.0,0.0,85.0,80.0,70.0,60.0,90.0,50.0,0.0,40.0,45,1
79,0.0,70.0,0.0,90.0,80.0,60.0,70.0,0.0,0.0,0.0,90.0,50.0,0.0,0.0,65,0
80,0.0,90.0,60.0,80.0,70.0,0.0,90.0,0.0,0.0,70.0,80.0,50.0,0.0,0.0,65,0
81,0.0,80.0,60.0,90.0,50.0,70.0,80.0,50.0,0.0,0.0,90.0,40.0,0.0,0.0,40,0
82,50.0,70.0,80.0,90.0,60.0,70.0,90.0,60.0,40.0,50.0,100.0,80.0,0.0,0.0,65,0
83,60.0,70.0,80.0,50.0,0.0,30.0,80.0,60.0,50.0,90.0,70.0,40.0,0.0,0.0,65,0
84,0.0,50.0,40.0,80.0,70.0,40.0,70.0,80.0,60.0,0.0,50.0,0.0,0.0,0.0,15,0
85,50.0,80.0,70.0,60.0,0.0,0.0,70.0,40.0,0.0,0.0,80.0,0.0,0.0,0.0,60,0
86,60.0,70.0,80.0,90.0,50.0,0.0,70.0,60.0,50.0,0.0,80.0,0.0,0.0,0.0,75,1
87,0.0,70.0,90.0,60.0,80.0,70.0,100.0,50.0,50.0,0.0,100.0,0.0,0.0,40.0,78,1
88,50.0,80.0,70.0,90.0,60.0,0.0,90.0,0.0,0.0,50.0,70.0,0.0,60.0,0.0,50,0
89,60.0,0.0,80.0,90.0,70.0,50.0,90.0,60.0,0.0,40.0,80.0,0.0,0.0,0.0,45,0
90,0.0,70.0,90.0,80.0,60.0,80.0,90.0,60.0,50.0,40.0,100.0,70.0,30.0,0.0,83,1
91,0.0,50.0,70.0,80.0,60.0,70.0,90.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,83,0
92,50.0,70.0,40.0,90.0,80.0,60.0,100.0,70.0,0.0,50.0,90.0,0.0,0.0,0.0,83,0
93,0.0,0.0,50.0,90.0,70.0,0.0,80.0,60.0,0.0,0.0,90.0,70.0,50.0,0.0,73,0
94,0.0,60.0,70.0,90.0,80.0,40.0,70.0,80.0,0.0,90.0,100.0,60.0,0.0,0.0,65,1
95,0.0,80.0,70.0,90.0,60.0,80.0,50.0,70.0,0.0,90.0,60.0,0.0,0.0,0.0,85,0
96,0.0,50.0,60.0,90.0,80.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,65,0
97,70.0,80.0,50.0,60.0,90.0,0.0,80.0,60.0,50.0,70.0,90.0,0.0,0.0,0.0,50,1
98,0.0,60.0,70.0,90.0,80.0,60.0,0.0,40.0,0.0,0.0,80.0,0.0,0.0,0.0,50,0
99,0.0,60.0,70.0,80.0,50.0,70.0,50.0,80.0,0.0,0.0,40.0,0.0,60.0,0.0,65,0
100,0.0,60.0,40.0,80.0,100.0,90.0,80.0,0.0,0.0,0.0,70.0,0.0,0.0,60.0,35,0
101,50.0,80.0,70.0,60.0,0.0,0.0,70.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,10,0
102,40.0,70.0,0.0,90.0,80.0,70.0,80.0,90.0,0.0,0.0,60.0,0.0,0.0,0.0,15,0
103,60.0,70.0,50.0,90.0,80.0,0.0,40.0,0.0,0.0,60.0,80.0,0.0,70.0,50.0,50,0
104,50.0,60.0,0.0,80.0,70.0,80.0,90.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,15,0
105,0.0,70.0,50.0,90.0,80.0,70.0,90.0,50.0,0.0,60.0,100.0,0.0,0.0,0.0,50,0
106,0.0,70.0,60.0,80.0,50.0,0.0,70.0,0.0,0.0,60.0,80.0,0.0,50.0,0.0,50,0
107,0.0,80.0,50.0,90.0,70.0,70.0,60.0,0.0,0.0,80.0,40.0,0.0,0.0,50.0,45,0
108,50.0,80.0,0.0,70.0,90.0,0.0,90.0,80.0,70.0,50.0,100.0,0.0,60.0,0.0,65,0
109,0.0,60.0,70.0,90.0,80.0,60.0,0.0,80.0,0.0,0.0,70.0,0.0,0.0,0.0,80,0
110,40.0,70.0,0.0,90.0,80.0,60.0,80.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,83,0
111,50.0,90.0,70.0,80.0,60.0,0.0,80.0,70.0,90.0,50.0,60.0,0.0,0.0,0.0,78,1
112,0.0,80.0,60.0,90.0,70.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,78,0
113,0.0,60.0,70.0,90.0,80.0,0.0,80.0,0.0,0.0,70.0,90.0,50.0,0.0,0.0,65,0
114,0.0,60.0,50.0,90.0,80.0,30.0,70.0,0.0,0.0,60.0,80.0,0.0,0.0,0.0,50,0
115,0.0,70.0,90.0,80.0,60.0,0.0,80.0,0.0,0.0,0.0,90.0,70.0,0.0,0.0,70,0
116,50.0,70.0,0.0,90.0,60.0,70.0,80.0,0.0,0.0,60.0,90.0,0.0,0.0,50.0,20,0
117,80.0,60.0,90.0,70.0,50.0,70.0,100.0,80.0,0.0,60.0,0.0,0.0,0.0,50.0,73,1
118,0.0,60.0,70.0,90.0,80.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,50.0,0.0,15,0
119,70.0,80.0,90.0,60.0,50.0,80.0,70.0,60.0,0.0,50.0,90.0,0.0,40.0,0.0,78,1
120,90.0,60.0,70.0,80.0,50.0,50.0,80.0,0.0,0.0,40.0,90.0,70.0,0.0,0.0,40,1
121,0.0,60.0,70.0,90.0,80.0,80.0,100.0,0.0,40.0,0.0,70.0,0.0,0.0,0.0,85,0
122,50.0,60.0,70.0,80.0,90.0,70.0,80.0,100.0,90.0,50.0,60.0,0.0,0.0,40.0,83,1
123,0.0,75.0,60.0,85.0,55.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,65,0
124,0.0,70.0,60.0,80.0,50.0,70.0,80.0,0.0,0.0,0.0,90.0,0.0,60.0,0.0,50,0
125,50.0,60.0,70.0,80.0,0.0,0.0,60.0,80.0,70.0,0.0,50.0,0.0,0.0,0.0,40,0
126,60.0,90.0,80.0,70.0,50.0,80.0,70.0,0.0,50.0,90.0,60.0,0.0,0.0,40.0,83,0
127,0.0,80.0,0.0,90.0,70.0,70.0,50.0,60.0,0.0,0.0,90.0,80.0,0.0,0.0,65,0
128,0.0,70.0,60.0,90.0,80.0,70.0,0.0,0.0,80.0,50.0,0.0,0.0,40.0,60.0,55,0
129,0.0,80.0,90.0,60.0,70.0,60.0,80.0,0.0,0.0,90.0,70.0,0.0,50.0,0.0,85,0
130,60.0,90.0,70.0,80.0,50.0,40.0,70.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,83,0
131,60.0,80.0,50.0,90.0,70.0,70.0,80.0,0.0,0.0,0.0,90.0,0.0,40.0,0.0,75,0
132,60.0,0.0,80.0,90.0,70.0,70.0,80.0,0.0,0.0,60.0,90.0,0.0,50.0,0.0,65,0
133,0.0,60.0,80.0,70.0,50.0,0.0,50.0,0.0,0.0,0.0,80.0,0.0,70.0,0.0,0,0
134,70.0,90.0,80.0,60.0,50.0,90.0,100.0,60.0,0.0,80.0,100.0,70.0,0.0,50.0,65,0
135,90.0,0.0,70.0,80.0,60.0,40.0,40.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,78,0
136,0.0,60.0,70.0,90.0,80.0,60.0,100.0,90.0,80.0,50.0,70.0,50.0,0.0,40.0,83,0
137,60.0,80.0,0.0,90.0,50.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0
138,70.0,80.0,90.0,0.0,60.0,0.0,70.0,0.0,0.0,50.0,80.0,0.0,60.0,0.0,70,0
139,40.0,80.0,0.0,90.0,70.0,70.0,80.0,60.0,0.0,0.0,90.0,0.0,0.0,50.0,15,1
140,60.0,80.0,0.0,50.0,70.0,70.0,80.0,0.0,0.0,60.0,90.0,0.0,50.0,0.0,85,1
141,50.0,60.0,70.0,80.0,0.0,80.0,90.0,0.0,0.0,0.0,50.0,0.0,60.0,0.0,40,0
142,0.0,70.0,80.0,90.0,60.0,0.0,80.0,0.0,0.0,70.0,90.0,40.0,0.0,0.0,70,0
143,70.0,80.0,50.0,90.0,60.0,60.0,80.0,50.0,0.0,70.0,90.0,0.0,0.0,0.0,83,0
144,60.0,70.0,90.0,0.0,80.0,90.0,100.0,0.0,0.0,70.0,80.0,50.0,0.0,0.0,60,1
145,40.0,70.0,0.0,90.0,80.0,50.0,80.0,0.0,0.0,40.0,90.0,60.0,30.0,0.0,45,0
146,0.0,70.0,60.0,90.0,80.0,70.0,80.0,0.0,0.0,0.0,60.0,0.0,50.0,0.0,75,0
147,0.0,60.0,50.0,90.0,80.0,70.0,80.0,40.0,0.0,0.0,90.0,60.0,0.0,0.0,83,0
148,50.0,70.0,0.0,90.0,80.0,60.0,70.0,0.0,0.0,0.0,80.0,40.0,50.0,0.0,85,0
149,70.0,60.0,50.0,90.0,80.0,0.0,0.0,0.0,0.0,80.0,70.0,0.0,60.0,0.0,55,0
150,0.0,70.0,60.0,90.0,80.0,60.0,70.0,0.0,0.0,90.0,80.0,50.0,0.0,0.0,60,0
151,60.0,70.0,80.0,90.0,50.0,0.0,60.0,0.0,0.0,0.0,70.0,0.0,40.0,0.0,83,0
152,0.0,70.0,50.0,90.0,60.0,0.0,90.0,70.0,0.0,80.0,100.0,0.0,0.0,60.0,40,0
153,0.0,70.0,60.0,90.0,100.0,60.0,40.0,70.0,80.0,50.0,90.0,0.0,0.0,0.0,50,0
154,0.0,70.0,60.0,90.0,80.0,0.0,100.0,0.0,0.0,0.0,90.0,70.0,0.0,0.0,65,0
155,50.0,80.0,0.0,90.0,70.0,60.0,80.0,0.0,0.0,0.0,90.0,50.0,0.0,0.0,80,0
156,0.0,70.0,80.0,90.0,60.0,70.0,80.0,50.0,60.0,40.0,90.0,0.0,0.0,0.0,40,1
157,0.0,70.0,60.0,90.0,80.0,0.0,70.0,60.0,50.0,0.0,80.0,0.0,0.0,0.0,40,0
158,0.0,80.0,50.0,90.0,70.0,50.0,80.0,60.0,40.0,70.0,90.0,40.0,0.0,0.0,80,0
159,0.0,0.0,70.0,80.0,60.0,0.0,70.0,60.0,40.0,0.0,80.0,30.0,0.0,0.0,73,0
160,60.0,80.0,50.0,90.0,70.0,70.0,80.0,0.0,100.0,60.0,90.0,0.0,0.0,0.0,78,0
161,0.0,70.0,40.0,90.0,80.0,70.0,80.0,40.0,30.0,0.0,90.0,50.0,0.0,0.0,45,0
162,0.0,60.0,70.0,90.0,80.0,0.0,80.0,60.0,0.0,70.0,90.0,50.0,40.0,0.0,65,0
163,0.0,70.0,50.0,80.0,60.0,70.0,80.0,0.0,0.0,90.0,60.0,40.0,50.0,0.0,40,0
164,0.0,60.0,90.0,80.0,70.0,60.0,70.0,0.0,0.0,80.0,50.0,0.0,0.0,0.0,45,1
165,0.0,70.0,60.0,90.0,50.0,70.0,80.0,60.0,0.0,0.0,90.0,0.0,0.0,50.0,15,0
166,0.0,70.0,80.0,60.0,90.0,50.0,70.0,90.0,80.0,40.0,60.0,0.0,0.0,0.0,85,0
167,0.0,90.0,70.0,80.0,60.0,70.0,80.0,0.0,0.0,50.0,90.0,0.0,40.0,0.0,83,1
168,50.0,80.0,70.0,90.0,60.0,70.0,100.0,90.0,80.0,0.0,60.0,0.0,0.0,0.0,83,1
169,40.0,90.0,0.0,80.0,70.0,60.0,85.0,0.0,0.0,70.0,90.0,40.0,50.0,0.0,78,1
170,80.0,70.0,90.0,50.0,60.0,0.0,80.0,0.0,0.0,70.0,90.0,60.0,50.0,40.0,85,1
171,0.0,90.0,80.0,70.0,60.0,80.0,90.0,70.0,0.0,60.0,100.0,0.0,50.0,40.0,15,0
172,0.0,60.0,70.0,90.0,80.0,70.0,90.0,40.0,0.0,0.0,80.0,0.0,0.0,0.0,80,1
173,80.0,0.0,70.0,90.0,60.0,60.0,100.0,70.0,100.0,50.0,90.0,80.0,0.0,40.0,83,1
174,0.0,80.0,60.0,90.0,70.0,40.0,80.0,70.0,50.0,0.0,90.0,0.0,0.0,0.0,40,1
175,40.0,60.0,80.0,70.0,50.0,60.0,70.0,50.0,40.0,40.0,80.0,0.0,0.0,0.0,35,0
176,0.0,70.0,80.0,60.0,90.0,70.0,80.0,60.0,0.0,0.0,90.0,0.0,0.0,0.0,70,0
177,0.0,60.0,80.0,90.0,70.0,0.0,40.0,80.0,70.0,50.0,60.0,0.0,0.0,0.0,15,0
178,50.0,80.0,0.0,90.0,70.0,0.0,90.0,50.0,0.0,0.0,70.0,0.0,0.0,0.0,15,0
179,0.0,70.0,75.0,85.0,60.0,60.0,70.0,50.0,0.0,0.0,80.0,0.0,0.0,0.0,65,0
180,0.0,70.0,60.0,90.0,50.0,40.0,50.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,40,0
181,0.0,70.0,60.0,90.0,50.0,40.0,50.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,40,0
182,70.0,80.0,0.0,90.0,60.0,70.0,80.0,40.0,40.0,0.0,90.0,0.0,60.0,0.0,20,0
183,0.0,50.0,70.0,90.0,80.0,50.0,0.0,60.0,40.0,0.0,90.0,0.0,70.0,0.0,65,0
184,60.0,80.0,0.0,90.0,70.0,70.0,80.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,85,1
185,60.0,70.0,50.0,90.0,80.0,0.0,80.0,70.0,50.0,90.0,50.0,0.0,0.0,0.0,83,0
186,70.0,0.0,60.0,90.0,80.0,80.0,90.0,0.0,0.0,60.0,0.0,0.0,50.0,0.0,40,0
187,0.0,60.0,70.0,90.0,80.0,60.0,70.0,0.0,30.0,0.0,80.0,0.0,0.0,0.0,65,0
188,70.0,80.0,50.0,90.0,60.0,80.0,90.0,0.0,0.0,60.0,100.0,70.0,0.0,40.0,70,1
189,0.0,60.0,70.0,90.0,80.0,70.0,80.0,60.0,0.0,50.0,90.0,0.0,0.0,0.0,20,0
190,0.0,60.0,70.0,80.0,50.0,50.0,0.0,0.0,0.0,60.0,0.0,0.0,80.0,0.0,15,0
191,0.0,50.0,60.0,80.0,100.0,60.0,70.0,80.0,0.0,0.0,50.0,0.0,0.0,0.0,40,0
192,60.0,50.0,70.0,90.0,80.0,70.0,80.0,60.0,0.0,0.0,90.0,0.0,0.0,0.0,85,0
193,0.0,60.0,80.0,90.0,70.0,60.0,80.0,70.0,0.0,50.0,90.0,0.0,0.0,0.0,75,1
194,70.0,50.0,90.0,80.0,60.0,80.0,90.0,70.0,0.0,60.0,100.0,50.0,0.0,40.0,75,1
195,0.0,60.0,80.0,90.0,70.0,0.0,0.0,0.0,0.0,70.0,90.0,0.0,80.0,0.0,10,0
196,50.0,90.0,60.0,70.0,80.0,0.0,100.0,0.0,0.0,70.0,90.0,0.0,80.0,0.0,83,0
197,60.0,50.0,80.0,90.0,70.0,60.0,85.0,90.0,0.0,70.0,80.0,50.0,0.0,40.0,83,0
198,0.0,50.0,60.0,90.0,80.0,0.0,80.0,50.0,70.0,0.0,90.0,60.0,0.0,0.0,20,0
199,0.0,60.0,80.0,50.0,70.0,50.0,60.0,0.0,0.0,0.0,70.0,40.0,0.0,0.0,40,0
200,90.0,60.0,80.0,70.0,0.0,60.0,50.0,40.0,0.0,0.0,70.0,0.0,0.0,0.0,40,0
201,60.0,70.0,90.0,0.0,80.0,0.0,80.0,0.0,0.0,70.0,50.0,0.0,0.0,0.0,73,0
202,50.0,70.0,0.0,90.0,60.0,70.0,100.0,40.0,0.0,0.0,90.0,60.0,0.0,0.0,15,0
203,50.0,70.0,80.0,90.0,60.0,0.0,90.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,78,0
204,0.0,70.0,40.0,80.0,60.0,60.0,70.0,40.0,40.0,0.0,80.0,0.0,0.0,0.0,40,0
205,50.0,80.0,70.0,90.0,60.0,0.0,80.0,60.0,0.0,0.0,90.0,50.0,40.0,30.0,65,1
206,70.0,0.0,90.0,60.0,80.0,90.0,80.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,65,0
207,0.0,80.0,50.0,100.0,90.0,80.0,100.0,70.0,40.0,0.0,90.0,60.0,50.0,30.0,85,1
208,50.0,60.0,70.0,90.0,80.0,70.0,80.0,50.0,30.0,60.0,90.0,40.0,0.0,0.0,83,0
209,0.0,50.0,70.0,80.0,60.0,80.0,90.0,0.0,0.0,70.0,50.0,0.0,60.0,0.0,40,0
210,0.0,70.0,60.0,90.0,80.0,0.0,50.0,0.0,0.0,0.0,80.0,60.0,0.0,0.0,30,0
211,50.0,80.0,70.0,90.0,60.0,90.0,100.0,0.0,0.0,50.0,80.0,40.0,0.0,0.0,65,1
212,0.0,60.0,70.0,80.0,90.0,80.0,90.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25,0
213,50.0,80.0,70.0,90.0,60.0,70.0,80.0,40.0,30.0,50.0,90.0,60.0,0.0,0.0,83,0
214,50.0,60.0,80.0,90.0,70.0,50.0,60.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,15,0
215,0.0,60.0,70.0,80.0,90.0,70.0,80.0,0.0,0.0,0.0,90.0,60.0,50.0,0.0,40,0
216,0.0,70.0,60.0,90.0,80.0,65.0,85.0,75.0,70.0,80.0,90.0,60.0,0.0,50.0,73,1
217,0.0,0.0,60.0,80.0,70.0,90.0,100.0,0.0,0.0,0.0,80.0,0.0,60.0,0.0,30,0
218,60.0,50.0,80.0,90.0,70.0,70.0,90.0,0.0,0.0,40.0,60.0,0.0,50.0,0.0,65,0
219,0.0,60.0,70.0,80.0,50.0,60.0,100.0,0.0,0.0,40.0,70.0,0.0,0.0,0.0,78,0
220,0.0,60.0,80.0,90.0,70.0,60.0,85.0,40.0,70.0,50.0,90.0,0.0,0.0,0.0,85,0
